"Month","Category Group/Category","Category Group","Category","Assigned","Activity","Available"
"May 2022","Credit Card Payments: Viv's Credit Card (TG)","Credit Card Payments","Viv's Credit Card (TG)",0.00$,0.00$,0.00$
"May 2022","Credit Card Payments: WS Credit Card","Credit Card Payments","WS Credit Card",0.00$,0.00$,0.00$
"May 2022","Monthly: Amroth House","Monthly","Amroth House",0.00$,0.00$,0.00$
"May 2022","Monthly: Internet","Monthly","Internet",75.00$,-82.45$,6.22$
"May 2022","Monthly: Cellphone","Monthly","Cellphone",100.00$,-107.35$,2.23$
"May 2022","Monthly: Groceries","Monthly","Groceries",575.00$,-622.92$,75.95$
"May 2022","Monthly: Daycare","Monthly","Daycare",0.00$,0.00$,0.00$
"May 2022","Monthly: Life Insurance","Monthly","Life Insurance",0.00$,0.00$,0.00$
"May 2022","Cumulative: Fees","Cumulative","Fees",10.00$,-10.00$,0.00$
"May 2022","Cumulative: Progeny","Cumulative","Progeny",0.00$,0.00$,0.00$
"May 2022","Cumulative: Books & Education","Cumulative","Books & Education",0.00$,0.00$,0.00$
"May 2022","Cumulative: Miscellaneous","Cumulative","Miscellaneous",0.00$,0.00$,0.00$
"May 2022","Cumulative: Car","Cumulative","Car",450.00$,-472.42$,585.50$
"May 2022","Cumulative: Health & Pharmacy","Cumulative","Health & Pharmacy",0.00$,0.00$,0.00$
"May 2022","Cumulative: Clothes","Cumulative","Clothes",210.00$,-20.31$,288.69$
"May 2022","Cumulative: Eating Out","Cumulative","Eating Out",70.00$,-93.98$,0.00$
"May 2022","Cumulative: Fun, Dates & Hobbies","Cumulative","Fun, Dates & Hobbies",110.00$,-5.64$,368.94$
